osm_type,osm_id,name,lat,lon,holes_tag,fairways,hole_lines,tier
way,23590783,Highland Golf Club,45.72796,-87.21801,,3,0,partial
way,23592332,Escanaba Country Club,45.72978,-87.07462,,5,18,partial
way,24686189,Riverside Country Club,45.11129,-87.64422,,6,18,partial
way,25411699,Tecumseh Golf Club,42.01101,-83.92081,,0,18,partial
way,25441012,Raisin Valley Golf Club,41.98277,-83.93931,,20,18,vector
way,30479091,Mickey's Golf Range,42.30824,-83.41647,,0,0,raster
way,31336134,Wawashkamo Golf Course,45.87014,-84.63458,,1,9,partial
way,32730303,Eagle Eye Golf Club,42.7914,-84.49113,,8,17,partial
way,34187934,Forest Akers West,42.70792,-84.49951,,15,18,vector
way,34187936,Forest Akers East,42.70814,-84.48791,,16,18,vector
way,34992865,Oak Crest Golf Course,45.77249,-87.91893,,0,18,partial
way,35678344,Jewel Golf Course - Grand Nine,45.85082,-84.62276,,8,9,partial
way,35678346,Jewel Golf Course - Woods Nine,45.86626,-84.64295,,8,9,partial
way,37051386,Blackshire,44.51542,-83.37136,,21,18,vector
way,40147274,Groesbeck Golf Course,42.74892,-84.5265,,18,18,vector
way,40636138,Country Club of Lansing,42.71635,-84.5822,,6,18,partial
way,40685148,Traverse City Golf and Country Club,44.74097,-85.62491,,6,18,partial
way,42316957,Royal Oak Golf Club,42.52162,-83.17743,,3,9,partial
way,45409549,Little Nugget Golf Course (Closed),45.27018,-87.61115,,0,0,raster
way,45409777,North Shore Golf Club,45.1977,-87.54656,,0,0,raster
way,45729609,Marquette Golf Club,46.53609,-87.42393,,12,18,vector
way,55626886,Red Run Golf Club,42.50906,-83.1363,,14,18,vector
way,72058860,Chandler Park Golf Course,42.39736,-82.97756,,2,18,partial
way,80558515,Epworth Heights Golf Course,43.97502,-86.46146,,0,0,raster
way,80558552,Lincoln Hills Golf Club,43.98745,-86.46546,,0,0,raster
way,90966780,Arbor Hills Golf Club,42.22935,-84.48748,,0,0,raster
way,90966835,Hickory Hills Golf Club,42.21966,-84.47961,,0,0,raster
way,90970676,Cascades Golf Course,42.22286,-84.44263,,0,0,raster
way,91744937,The Prairies Golf Club,42.29012,-85.65648,,17,0,vector
way,93415738,Midland Country Club,43.62966,-84.24053,,14,18,vector
way,93415742,Currie Municipal Golf Course,43.61938,-84.26401,,38,20,vector
way,95490755,Sault Sainte Marie Country Club,46.48331,-84.30892,,18,18,vector
way,96237731,Washtenaw Golf Club,42.24004,-83.65735,,22,18,vector
way,111780073,Morrison Lake Golf Club,42.86958,-85.20098,,1,2,raster
way,113063226,Tanglewood Marsh Golf Course,46.48059,-84.41331,,0,0,raster
way,116041117,Radrick Farms Golf Course,42.28369,-83.65979,,20,18,vector
way,127361321,Summit Golf Course,44.95328,-85.17991,,0,0,raster
way,127540986,Pinecroft Golf Course,44.62855,-86.07387,,3,0,partial
way,127700532,Meadowbrook Country Club,42.43498,-83.44733,,7,19,partial
way,127841461,Lakes of Taylor Golf Club,42.20522,-83.27969,,12,18,vector
way,128148930,Cracklewood Golf Club!,42.6903,-82.9448,,16,18,vector
way,128640271,Huron Hills Golf Course,42.26876,-83.69561,,0,18,partial
way,137414923,Leland Country Club,45.02457,-85.75147,,16,0,vector
way,144905869,Elmbrook Golf Course,44.7097,-85.57103,,5,18,partial
way,150518444,Litchfield Greens,42.05249,-84.77327,,0,0,raster
way,150643926,Mill Race Golf Course,41.97448,-84.65951,,0,0,raster
way,153301726,Tam O'Shanter Country Club,42.56231,-83.35424,,16,18,vector
way,164516759,The Pines Golf Course,42.87453,-85.71866,,1,18,partial
way,165355716,Beaver Island Golf Course,45.71394,-85.51072,,0,0,raster
way,166984277,Grand Prarie Golf Course,42.31384,-85.63494,,0,0,raster
way,173679255,Saginaw Country Club,43.41747,-84.00132,,11,10,vector
way,173680956,Saginaw Country Club,43.41157,-84.003,,6,9,partial
way,178180322,Four Lakes Country Club,41.79261,-86.00143,,10,18,vector
way,178191915,Alwyn Downs Golf Club,42.25732,-84.95901,,0,0,raster
way,179071774,Binder Park Golf Course,42.23663,-85.15532,,17,18,vector
way,179465058,Eagle Crest Resort,42.22398,-83.61074,,9,18,vector
way,180206578,Paw Paw Lake Golf Course,42.1968,-86.28144,,1,0,raster
way,181222205,Manistee Golf & Country Club,44.23906,-86.3437,,19,18,vector
way,192636848,The Meadows at Grand Valley State University,42.96785,-85.8984,,22,18,vector
way,199425523,Lake Erie Metropark Golf Course,42.05748,-83.20069,,7,18,partial
way,203185875,Dearborn Country Club,42.32,-83.25022,,2,0,raster
way,207486587,Port Huron Golf Club,43.02959,-82.44595,,5,0,partial
way,210059805,Oakland University Golf and Learning Center,42.6658,-83.20503,,22,36,vector
way,210622679,The Polo Fields - Ann Arbor,42.27636,-83.82675,,5,1,partial
way,223433963,Bedford Valley,42.40639,-85.21647,,0,18,partial
way,224672296,Pierce Lake Golf Course and Park,42.29969,-84.01515,,18,18,vector
way,224699325,Hudson Mills Metropark Golf Course,42.36136,-83.90683,,3,18,partial
way,225268897,Elk Rapids Golf Club,44.90047,-85.39191,,1,9,partial
way,225432757,Portage Lake Golf Course,47.09455,-88.52316,,17,0,vector
way,226148435,Kent Country Club,42.99491,-85.65488,,22,18,vector
way,230883117,Ridgeview Golf Course,43.06151,-85.24464,,0,0,raster
way,230883603,Candlestone,43.10942,-85.2551,,0,0,raster
way,232725914,Concord Hills Golf Course,42.15485,-84.63356,,7,18,partial
way,232804042,Sylvan Glen Golf Course,42.60346,-83.13483,,23,19,vector
way,234594667,Waabooz Run Golf Course,43.61428,-84.73462,,0,0,raster
way,241726901,Thorne Hills Golf Course,42.06149,-83.48268,,0,0,raster
way,242551475,The Oaks at Kincheloe,46.27455,-84.45976,,2,18,partial
way,246089205,Dunes Golf Club,44.80457,-85.98405,,0,18,partial
way,246833729,Mistwood Golf Course,44.7415,-85.87901,,28,27,vector
way,249283115,Fruitport Golf Club,43.13964,-86.20091,,0,0,raster
way,249283116,Oak Ridge Golf Club,43.12916,-86.25884,,0,18,partial
way,253983500,DeMor Hills Golf Course,41.76394,-84.24726,,2,0,raster
way,255688512,Lake Cora Hills,42.21305,-85.97463,,16,18,vector
way,256307729,Lochmoor Club,42.43909,-82.89877,,21,1,vector
way,257373609,Giant Oak Golf Club,41.79081,-83.57658,,4,27,partial
way,257373611,Bedford Hills Golf Club,41.73253,-83.58461,,26,27,vector
way,259254183,Monroe Golf & Country Club,41.94166,-83.3768,,3,18,partial
way,259256128,Old Town Golf Course,41.97616,-83.37104,,0,0,raster
way,259284429,Beeches Golf Club,42.38343,-86.19715,,0,0,raster
way,259286591,Hawkshead Links Golf Course,42.4624,-86.2246,,21,18,vector
way,259587258,Kalamazoo Country Club,42.25615,-85.60864,,17,18,vector
way,259674856,Milham Park Golf Club,42.24871,-85.56735,,15,18,vector
way,259715232,Green Valley Golf Course,41.77739,-85.45974,,4,0,partial
way,260358553,Lenawee Country Club,41.91629,-84.07109,,1,0,raster
way,260422127,Grand Beach Golf Course,41.77076,-86.79317,,0,9,partial
way,261456431,Battle Creek Country Club,42.28011,-85.2089,,0,0,raster
way,261968477,Solitude Links Golf Course & Banquet Center,42.98206,-82.56182,,4,18,partial
way,263053740,Stonehedge North,42.37999,-85.33284,,5,18,partial
way,263157552,Stonehedge South,42.37209,-85.33147,,6,18,partial
way,263863413,Dearborn Hills,42.30299,-83.27467,,2,17,partial
way,263921112,University of Michigan Golf Course,42.25855,-83.74527,,6,16,partial
way,263921125,Ann Arbor Golf and Outing Club,42.26242,-83.74765,,4,2,partial
way,263941636,Rouge Park Golf Course,42.37541,-83.25285,,19,18,vector
way,264208339,Hickory Hill Golf Course,42.55386,-83.52091,,4,0,partial
way,264304947,Saint John's Resort Golf Course,42.39336,-83.47517,,29,18,vector
way,264831087,Northport Point Golf Club,45.15095,-85.56343,,0,0,raster
way,265723972,Ridgeview Golf Course,42.29888,-85.7533,,0,0,raster
way,265778472,Moors Golf Club,42.2073,-85.63056,,0,18,partial
way,266321588,Macatawa Legends Golf & Country Club,42.85104,-86.13416,,6,18,partial
way,266737253,Orchard Hill Country Club,41.83102,-86.32875,,16,18,vector
way,266829149,Hickory Ridge Golf Course,42.29214,-85.4804,,0,0,raster
way,266959648,Heritage Glen Golf Club,42.25708,-85.83641,,4,18,partial
way,267414577,Grand Ledge Country Club,42.7299,-84.72492,,0,0,raster
way,270271733,Stony Point Golf Course,45.93326,-86.28852,,0,0,raster
way,270765266,Hessel Ridge Golf,46.03501,-84.43139,,0,0,raster
way,272096798,Sunnybrook Country Club,42.88286,-85.79371,,15,18,vector
way,273198178,Evergreen Hills Golf Course,42.47957,-83.23588,,2,9,partial
way,274199300,Bay City Country Club,43.53014,-83.95022,,7,23,partial
way,274352266,Newberry Country Club,46.30858,-85.51696,,0,0,raster
way,274840974,Red Fox Run,46.34663,-87.37069,,0,1,raster
way,275067507,Crystal View Golf Course,46.10256,-88.32203,,0,0,raster
way,276155423,Fox Creek Golf Course,42.42968,-83.40211,,21,18,vector
way,276776996,The Rock Golf Course,46.02261,-83.70899,,6,18,partial
way,278140682,Beech Woods Golf Course,42.45019,-83.29527,,0,0,raster
way,278671975,Munoscong Golf Club,46.19055,-84.35608,,0,1,raster
way,279897697,Saint Ignace Golf & Country Club,45.85467,-84.74266,,1,9,partial
way,280885631,Wawonowin Golf Course,46.48193,-87.7689,,18,18,vector
way,281399420,Marquette Golf Club Greywalls,46.52581,-87.42642,,3,18,partial
way,281565274,Mullenhurst Golf Course,42.56934,-85.4829,,0,0,raster
way,281978710,Green Hills Golf Course,43.78604,-83.97731,,2,18,partial
way,281978711,Huron Breeze Golf and Country Club,44.07394,-83.60552,,17,18,vector
way,281978712,Huron Shores Golf Club & Restaurant,43.46937,-82.56246,,20,0,vector
way,281978714,Maple Leaf Golf Course,43.74602,-83.98696,,24,9,vector
way,281978715,Singing Bridge Golf Course,44.13936,-83.57524,,0,0,raster
way,281978716,Spring Valley Golf Course,43.66955,-83.94443,,12,9,vector
way,282129955,Pine Hills Golf Course,42.89421,-84.33578,,0,0,raster
way,282331115,Gladstone Golf Club,45.89622,-87.03694,,0,0,raster
way,282731284,Indian Lake Golf and Country Club,46.00658,-86.29645,,0,0,raster
way,283511187,Sweetgrass Golf Club,45.69169,-87.34095,,15,18,vector
way,283590153,Woody’s Run Public Golf Course,45.79953,-87.16715,,0,0,raster
way,283892959,Indian Hills Golf Course,45.43335,-87.61743,,0,0,raster
way,284666057,Marquette Trails Country Club,43.84705,-85.92332,,0,0,raster
way,285977717,Pine Grove Country Club,45.82244,-88.09143,,2,18,partial
way,286794005,Iron River Country Club,46.06933,-88.64626,,0,0,raster
way,287510717,Coyote Golf Club,42.49485,-83.60837,,0,0,raster
way,288044552,Cadillac Country Club,44.22728,-85.4693,,17,18,vector
way,288044554,Eldorado,44.20491,-85.42102,,0,0,raster
way,288044555,Fawn Crest Golf Course,44.23025,-85.95719,,0,0,raster
way,288044556,Evergreen Resort,44.22834,-85.40876,,14,18,vector
